,N_bkgr_only_x,N_bkgr_only_y,N_error_bkgr_only_x,N_error_bkgr_only_y,N_error_x,N_error_y,N_x,N_y,bkgr_count_x,bkgr_count_y,chi2_bkgr_only_x,chi2_bkgr_only_y,chi2_pvalue_bkgr_only_x,chi2_pvalue_bkgr_only_y,chi2_pvalue_x,chi2_pvalue_y,chi2_x,chi2_y,dfr,dmu,dsigma,edm_bkgr_only_x,edm_bkgr_only_y,edm_x,edm_y,event_ID,event_angle,event_class,event_energy,fr_error_x,fr_error_y,fr_x,fr_y,fval_bkgr_only_x,fval_bkgr_only_y,fval_x,fval_y,has_accurate_covar_bkgr_only_x,has_accurate_covar_bkgr_only_y,has_accurate_covar_x,has_accurate_covar_y,has_covariance_bkgr_only_x,has_covariance_bkgr_only_y,has_covariance_x,has_covariance_y,has_made_posdef_covar_bkgr_only_x,has_made_posdef_covar_bkgr_only_y,has_made_posdef_covar_x,has_made_posdef_covar_y,has_parameters_at_limit_bkgr_only_x,has_parameters_at_limit_bkgr_only_y,has_parameters_at_limit_x,has_parameters_at_limit_y,has_posdef_covar_bkgr_only_x,has_posdef_covar_bkgr_only_y,has_posdef_covar_x,has_posdef_covar_y,has_reached_call_limit_bkgr_only_x,has_reached_call_limit_bkgr_only_y,has_reached_call_limit_x,has_reached_call_limit_y,has_valid_parameters_bkgr_only_x,has_valid_parameters_bkgr_only_y,has_valid_parameters_x,has_valid_parameters_y,hesse_failed_bkgr_only_x,hesse_failed_bkgr_only_y,hesse_failed_x,hesse_failed_y,image_name,is_above_max_edm_bkgr_only_x,is_above_max_edm_bkgr_only_y,is_above_max_edm_x,is_above_max_edm_y,is_valid_bkgr_only_x,is_valid_bkgr_only_y,is_valid_x,is_valid_y,mu_error_x,mu_error_y,mu_x,mu_y,n_excess_bins_x,n_excess_bins_y,nfcn_bkgr_only_x,nfcn_bkgr_only_y,nfcn_total_bkgr_only_x,nfcn_total_bkgr_only_y,nfcn_total_x,nfcn_total_y,nfcn_x,nfcn_y,ngrad_bkgr_only_x,ngrad_bkgr_only_y,ngrad_total_bkgr_only_x,ngrad_total_bkgr_only_y,ngrad_total_x,ngrad_total_y,ngrad_x,ngrad_y,sig_count_x,sig_count_y,sig_density_x,sig_density_y,sigma_error_x,sigma_error_y,sigma_x,sigma_y,tolerance_bkgr_only_x,tolerance_bkgr_only_y,tolerance_x,tolerance_y,up_bkgr_only_x,up_bkgr_only_y,up_x,up_y
0,1445476.0662271539,1445571.4873813407,1202.2795294274836,1202.3192112765018,1202.281859512009,1202.3198562610914,1445481.6689412803,1445573.2796407884,1446073.6649833424,1445101.395314434,111.93377284974801,16.512618659498756,0.6399228125516196,1.0,0.7062227688756049,1.0,106.33106360041099,14.972190189044085,-0.0007359833655619141,29.973737391266695,-1.6488322194445189,4.88993776295905e-23,4.927167066328271e-24,5.12614030792615e-10,1.0082839865735742e-06,87,-0.3499999940395355,NR,1,0.00020269582795242314,0.0003405788830608946,-0.00040954932517105197,0.00032643404039086216,111.93377284974802,16.51261865949875,106.331063600411,14.972190189044085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.3499999940395355__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8487018071450911,3.3482746011906737,321.1757148577569,291.2019774664902,59.0,71.0,5.0,5.0,24.0,23.0,330.0,265.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-591.9960420620273,471.8843263542122,-417.38884493606224,153.8503518497626,0.702299213090514,3.7049482375213723,1.4183322080701803,3.067164427514699,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
1,1444761.745378424,1444869.080583043,1201.9824221980732,1202.0270723278027,0.0,1202.0282330729428,1832608.2294239153,1444872.1626110282,1331174.654747129,1443961.959957161,124.25462154857817,16.91941695665882,0.3287426294476569,1.0,0.3737600505473173,1.0,119.26881858557002,14.140893396316105,0.2729874875583128,-20.409636252890664,201.18661229640668,5.400831492332251e-22,4.8152161045211884e-24,0.0005439794137633708,6.312364914906922e-07,668,-2.927000045776367,NR,1,0.0,0.0004723449357741895,0.2736174413199122,0.0006299537615994139,124.25462154857814,16.91941695665882,119.26881858557002,14.140893396316102,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.927000045776367__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev668,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.46614838965885,264.97281242247226,285.3824486753629,120.0,67.0,5.0,5.0,24.0,24.0,1581.0,163.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501433.5746767864,910.2026538670972,2422.784750614341,157.49674792304472,0.0,4.31853630841046,206.96579609461332,5.779183798206652,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
2,1457226.1904745074,1457315.1719381115,1207.1562412812011,1207.193096713571,1207.305566249832,1207.3495305611186,1457586.7761444263,1457692.8807022618,1446321.548722866,1446692.3638580774,483.80952564183076,394.8280617404624,8.722053976184153e-46,1.4953123224212152e-31,0.2821303332987981,1.0,123.2707380236834,17.119346304494634,0.00018215814145562323,0.07027508463818322,0.488967826804517,1.4767497741346256e-20,1.6357819734769047e-20,3.802832130740672e-09,4.503344788338698e-12,312,-1.2714999914169312,NR,20,0.0005288054192815394,0.0004949791487113478,0.007728683880735374,0.00754652573927975,483.80952564183076,394.82806174046243,123.2707380236834,17.119346304494634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.2714999914169312__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev312,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4281895306081036,0.3900850882154438,288.2312519848159,288.16097690017773,71.0,73.0,5.0,5.0,22.0,22.0,124.0,135.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11265.227421560467,11000.516844184465,1756.3595419379515,1856.6284167612469,0.46092067778180296,0.4038082817908237,6.413964312301634,5.924996485497117,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
3,1447219.6087561464,1447342.0277707768,1203.0044091895224,1203.0552888832028,1203.0158766216043,1203.0658221959668,1447247.2005247604,1447367.3516164077,1443786.1890606394,1444581.5463644888,164.39124384930238,41.9722292221126,0.0030924938325313602,0.999999999991629,0.08093711001801907,1.0,136.79947634242245,16.648433766119826,0.0004667049772291872,0.120966898881818,1.8936184960667166,5.34264464088725e-24,3.212938883718289e-23,7.348226804236927e-11,3.524376414416053e-10,987,-0.7900000214576721,NR,6,0.0006462426992077296,0.0004813261851288719,0.0023914445734400307,0.0019247395962108435,164.39124384930238,41.9722292221126,136.79947634242245,16.648433766119826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.7900000214576721__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev987,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.879457593050767,1.557938948198223,287.3993311322405,287.2783642333587,66.0,71.0,5.0,5.0,24.0,24.0,134.0,158.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3461.011464121214,2785.8052519189227,445.7712732734256,474.544824183624,2.307627228196679,1.4793662539305452,7.764097131486333,5.870478635419617,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
4,1447793.740828797,1447898.5893952327,1203.2430097707577,1203.2865784148155,1203.256043743921,1203.2965135611942,1447825.1131822183,1447922.5511387894,1444089.079784241,1445411.1901889602,142.25917115782158,37.41060476753157,0.06362852207449528,0.9999999999999126,0.5911125615936124,1.0,110.88683062475918,13.497976619783262,0.0008459871562150319,1.3977181803670646,2.7360593943802556,9.637702646857202e-22,8.986407795550462e-24,1.0170939823505916e-11,9.844891318598784e-09,631,-1.3224999904632568,NR,6,0.000588679828097619,0.00044393977444842,0.0025804452236400433,0.0017344580674250115,142.25917115782158,37.41060476753158,110.88683062475918,13.497976619783262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.3224999904632568__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev631,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.7663160164146805,1.397667662501504,289.4583547150542,288.06063653468715,74.0,69.0,5.0,5.0,24.0,23.0,146.0,139.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3736.0333979771603,2511.360949829277,472.38897683086617,485.4984209181026,1.7282050684629375,1.3549018121712044,7.908807320274976,5.17274792589472,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
5,1455037.5491634032,1455091.9103328346,1206.2493725818126,1206.2719061237892,1206.389105277822,1206.4290471791196,1455374.6708253834,1455471.008180066,1444839.961931709,1444355.0820020053,447.4508363572581,393.0896668689919,7.568806901490025e-40,2.766007170135233e-31,0.6056003908144079,1.0,110.33299563002755,13.991854209783208,-0.00039885366630422817,-0.04656523816316849,0.060249236078703916,4.143687874255554e-20,5.498044966408486e-20,3.139781630459379e-10,3.0195468944517707e-12,381,1.1088000535964966,NR,20,0.0005143716904694339,0.0005005475425996141,0.007238485803590261,0.00763733946989449,447.45083635725814,393.0896668689919,110.33299563002757,13.99185420978321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1088000535964966__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev381,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.42416774395107615,0.39449079646121415,288.15497855011205,288.2015437882752,74.0,78.0,5.0,5.0,22.0,22.0,121.0,135.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10534.708893674388,11115.926178060743,1732.9621953475369,1846.8770051466486,0.46217906900490335,0.40912750608773346,6.07901829708507,6.018769061006366,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
6,1454387.772034432,1454504.3362304997,1205.9800044200615,1206.0283314756857,1206.0992740149554,1206.1445785545436,1454675.4497951572,1454784.7542920643,1445691.9893783673,1445266.9378542937,414.22796552162845,297.66376950132127,1.4524292724868207e-34,1.659002083426491e-17,0.2173680323408667,1.0,126.55012140187011,17.24578290934069,-0.0003668453364365871,0.34384646161919363,-0.6809894509875347,8.077935671490888e-22,5.0487097860722256e-23,1.0182323878790383e-11,2.082169398434603e-10,194,-0.8029000163078308,NR,20,0.0004762091255315278,0.0004928553964900195,0.006175577114506832,0.006542422450943419,414.22796552162833,297.6637695013213,126.5501214018701,17.245782909340686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.8029000163078308__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev194,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4051255385454664,0.4580639751767252,288.09327418191435,287.74942772029516,71.0,72.0,5.0,5.0,22.0,22.0,122.0,130.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8983.460416789905,9517.816437770607,1688.508163114516,1585.9477487413983,0.4524698285057249,0.4591503490487987,5.320353560044139,6.001343011031674,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
7,1455899.6583626184,1456028.524594671,1206.6066706405754,1206.6600697712317,1206.7673983411546,1206.8107122773804,1456287.5576695383,1456392.1122886578,1444879.6855399003,1445614.66224232,506.34163733210414,377.475405368715,1.5433944130818762e-49,6.590311885474491e-29,0.3941108849314238,1.0,118.44229041754977,13.916176864155839,0.0004334279962855802,0.5888903546759252,0.24298930727983326,1.567900773171908e-21,1.2621774472355212e-21,2.6152664028317732e-12,1.4022587263146602e-09,254,1.4921000003814697,NR,20,0.0005064261369186759,0.0004946784430655404,0.007833529902496562,0.007400101906210982,506.3416373321041,377.475405368715,118.44229041754977,13.916176864155837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4921000003814697__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev254,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.39877883804810993,0.3968729668593554,288.22540038680035,287.6365100321244,72.0,85.0,5.0,5.0,22.0,22.0,135.0,123.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11407.872129638015,10777.450046337935,1851.3394388531085,1820.8330336912545,0.40939526042411617,0.4108695268649625,6.161955981829626,5.918966674549793,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
8,1454380.729091067,1454456.5563128954,1205.9770850969117,1206.0085219733735,1206.1243071487697,1206.1579576963454,1454735.8367836925,1454817.0229605613,1444131.1357552863,1444206.529381244,451.270908710085,375.4436872846161,1.829706795023135e-40,1.3340313084041882e-28,0.8986927800930483,1.0,96.1424021903247,14.977066619540274,-3.5748287504511894e-06,-0.497053981873421,0.06994646590044074,3.830144265390298e-20,2.4435755392369827e-20,4.5522101895800885e-09,3.782058474519266e-12,464,-1.294800043106079,NR,20,0.0004980173199830886,0.0004888362506109272,0.007289777814130279,0.00729335264288073,451.270908710085,375.44368728461603,96.1424021903247,14.977066619540274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.294800043106079__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev464,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.39986962037304874,0.3920758781844713,287.69486647576446,288.1919204576379,71.0,75.0,5.0,5.0,22.0,22.0,122.0,135.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10604.701028406007,10610.493579317286,1802.8194123441215,1825.5113724510895,0.4244523681483058,0.4051708239487604,5.8822869089351615,5.812340443034721,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
9,1457619.7036756217,1457719.3151507971,1207.319222048007,1207.3604740956239,1207.5174691706436,1207.5629869215347,1458098.4174477598,1458208.3653598703,1446191.9635428789,1445510.0691758946,602.2963233208154,502.6848491428907,5.05340094778436e-66,6.322530416219637e-49,0.2758607174728195,1.0,123.56745013411155,13.604976127431595,-0.0005424084045321017,-0.11718931973371127,-0.5245706392875817,7.385568697235373e-19,2.1496926003050238e-21,3.2467009324947074e-10,1.9503214004485236e-08,797,-1.2157000303268433,NR,20,0.0004665377783579019,0.0005096432601554225,0.008165740914609792,0.008708149319141894,602.2963233208154,502.6848491428906,123.56745013411154,13.604976127431593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.2157000303268433__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev797,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3247966728248946,0.3482477244996217,287.99897105546796,288.1161603752017,71.0,79.0,5.0,5.0,22.0,22.0,123.0,119.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11906.45390488096,12698.296183975568,2157.519573728042,2101.2692972333125,0.3223510573321786,0.37537189574836133,5.518584419749873,6.0431550590374545,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0
